relpath,file_name,domain_from_path,doc_class_from_path,subgroup,size_bytes,sha256,page_count,text_chars,chars_per_page,pages_with_text,empty_page_ratio,extractable,devanagari_chars,latin_chars,devanagari_share,function_word_ratio,replacement_char_rate,text_quality,language,has_outline,outline_entries,images_total,pdf_title,pdf_producer,pdf_creation_date,encrypted,years_in_name,error,probe_section_headings,probe_section_word,probe_rule_word,probe_chapter,probe_subsection,probe_clause,probe_form,probe_schedule,probe_fee_marker
Ayush/ITRA/ITRA_Act_2020.pdf,ITRA_Act_2020.pdf,AYUSH_REGULATORY,,ITRA,432090,78ed38f96dc910d26a19f46b24b435bbb4259c45b3bd94efefdc40c214afa136,10,32230,3223.0,10,0.0,True,9,25607,0.0,0.5051,0.0,GOOD,ENGLISH,False,0,1,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),D:20200923000350+05'30',False,,,18,1,0,2,29,84,0,0,0
Ayush/NCH/NCH_Act_2020.pdf,NCH_Act_2020.pdf,AYUSH_REGULATORY,,NCH,502034,4f9e3bdac96e7e0c9ceb68bfd7aeb9c1d59d5a8243cb4400061472c4413d01d9,25,82349,3294.0,25,0.0,True,9,65849,0.0,0.4968,0.0,GOOD,ENGLISH,False,0,1,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),D:20200922015631+05'30',False,,,11,1,0,8,110,181,0,0,2
Ayush/NCISM/ncism_act_2020.pdf,ncism_act_2020.pdf,AYUSH_REGULATORY,,NCISM,515448,8bd66a69c75abc35ebc75e7e8dd2fe8a9066ffdcfaa8e436f4648b7e5cc81462,25,87282,3491.3,25,0.0,True,9,69652,0.0,0.4917,0.0,GOOD,ENGLISH,False,0,1,,PDFium,D:20251114142410,False,,,13,1,0,8,111,194,0,0,2
Copyrights/Acts/Copyright Act Hindi.pdf,Copyright Act Hindi.pdf,COPYRIGHT,ACT,Acts,596282,041d692d21fb5c52fb64d78551349c07938c8b53e867365a079235b15e91f2e7,41,154280,3762.9,41,0.0,True,107829,235,0.998,0.0,0.0,NON_LATIN_UNVERIFIED,HINDI,False,0,0,"प्रतिलिप्‍यधिकार अधिनियम, 1957",Acrobat Distiller 11.0 (Windows),D:20170704163748+05'30',False,,,0,0,0,0,110,84,0,0,0
"Copyrights/Acts/Copyright Act, 1957.pdf","Copyright Act, 1957.pdf",COPYRIGHT,ACT,Acts,956958,8c70b510270272bde44cc0a48809a4af2ff282d26b5da627b57e49d7a3738e54,57,159075,2790.8,56,0.018,True,0,115868,0.0,0.5196,0.0,GOOD,ENGLISH,False,0,1,,Microsoft® Word 2016,D:20180124095406+00'00',False,1957,,72,3,0,15,100,272,0,0,13
Copyrights/Manuals/Artistic Works Manual.pdf,Artistic Works Manual.pdf,COPYRIGHT,MANUAL,Manuals,200186,fd5fd44e10c6d1c51978cb7cc936f5bda098a7b1455b9db7d78f89c2e02bca53,17,33865,1992.1,17,0.0,True,0,23780,0.0,0.444,0.0,GOOD,ENGLISH,True,12,1,,Foxit PhantomPDF Printer Version 6.0.4.1129,D:20180425143120+05'30',False,,,31,22,7,0,3,0,0,0,0
Copyrights/Manuals/Cinematograph Film Works Manual.pdf,Cinematograph Film Works Manual.pdf,COPYRIGHT,MANUAL,Manuals,200169,c3eb031390f6ececf4af3091e20bc871fcb22a8539cdc13276ba247b476be6f4,13,25337,1949.0,13,0.0,True,0,17301,0.0,0.4086,0.0,GOOD,ENGLISH,True,20,1,,Foxit PhantomPDF Printer Version 6.0.4.1129,D:20180425143258+05'30',False,,,28,16,5,0,2,5,0,0,9
Copyrights/Manuals/Literary Works Manual.pdf,Literary Works Manual.pdf,COPYRIGHT,MANUAL,Manuals,291188,f748e8adfe9604978dd5b88e8ae3f2635eaab4060775d856b6140057c303dd79,24,49271,2053.0,24,0.0,True,0,34192,0.0,0.413,0.0,GOOD,ENGLISH,True,24,1,,Foxit PhantomPDF Printer Version 6.0.4.1129,D:20180425143443+05'30',False,,,21,14,10,0,0,7,0,0,3
Copyrights/Manuals/Musical Work Manual.pdf,Musical Work Manual.pdf,COPYRIGHT,MANUAL,Manuals,153087,6477a50a8e0b904cd3b8cc67cf0ee8226b3331f93050a475a12365bd086b3984,9,14454,1606.0,9,0.0,True,0,9469,0.0,0.4244,0.0,GOOD,ENGLISH,True,13,1,,Foxit PhantomPDF Printer Version 6.0.4.1129,D:20180425143614+05'30',False,,,7,7,3,0,0,0,0,0,2
Copyrights/Manuals/Sound Recording Work Manual.pdf,Sound Recording Work Manual.pdf,COPYRIGHT,MANUAL,Manuals,196533,c973853f280ae3fe2bf5781ffb291d3082651eb2b923e42f7d777ebe72a75a49,13,25186,1937.4,13,0.0,True,0,17162,0.0,0.414,0.0,GOOD,ENGLISH,True,19,1,,Foxit PhantomPDF Printer Version 6.0.4.1129,D:20180425143744+05'30',False,,,29,15,5,0,2,5,0,0,5
Copyrights/Rules/Copyright Rules 2013 ENGLISH.pdf,Copyright Rules 2013 ENGLISH.pdf,COPYRIGHT,RULES,Rules,464133,ffd844f0ba5ab18fafa347f6bc46b04e1394623c9b8a29d4dde90339eb655c5b,77,152965,1986.6,76,0.013,True,0,115596,0.0,0.4818,0.0,GOOD,ENGLISH,True,37,3,,Adobe PDF Library 10.0,D:20180222151644+05'30',False,2013,,331,4,6,18,174,393,0,4,25
Copyrights/Rules/Copyright Rules 2013 HINDI.pdf,Copyright Rules 2013 HINDI.pdf,COPYRIGHT,RULES,Rules,3100266,fbe5705c30249cd0f79d5e51b1042ad423a1b5e4ec3aba2b082424167085ccbb,60,59,1.0,0,1.0,False,0,0,0.0,0.0,0.0,NO_TEXT_LAYER,,False,0,60,,cairo 1.18.0 (https://cairographics.org),D:20260619180846+05'30,False,2013,,0,0,0,0,0,0,0,0,0
Copyrights/Rules/Copyright-Rules Amendment 2021.pdf,Copyright-Rules Amendment 2021.pdf,COPYRIGHT,RULES,Rules,424299,6cfc78de57bddc2cb80d4c461327ec8d94b5268388bcbc622f248e506b1295c9,10,22862,2286.2,10,0.0,True,6786,9771,0.41,0.4688,0.0,GOOD,BILINGUAL_HI_EN,False,0,13,,cairo 1.18.0 (https://cairographics.org),D:20260619175623+05'30,False,2021,,35,1,1,0,18,71,0,0,6
Design/Acts/Act of 2000 ENGLISH.pdf,Act of 2000 ENGLISH.pdf,DESIGN,ACT,Acts,59068,e392e657bba992c763a4442d5cfe2d3ca089682590ae5bfa35a35c0381adc79f,19,51231,2696.4,19,0.0,True,0,40228,0.0,0.5501,0.0,GOOD,ENGLISH,False,0,0,des_act,Acrobat PDFWriter 3.02 for Windows,"Wednesday, July 11, 2001 4:18:16 PM",False,2000,,23,1,0,11,60,81,0,0,27
Design/Acts/Act of 2000 HINDI.pdf,Act of 2000 HINDI.pdf,DESIGN,ACT,Acts,5794142,719552bf09c7a2efc00e92e7cd2c3b4ab380f2b1f60e40440a294a5c11807e60,14,13,0.9,0,1.0,False,0,0,0.0,0.0,0.0,NO_TEXT_LAYER,,False,0,14,,cairo 1.17.4 (https://cairographics.org),D:20220508140642+05'30,False,2000,,0,0,0,0,0,0,0,0,0
"Design/Manuals/Designs (Amendment) Rules, 2014.pdf","Designs (Amendment) Rules, 2014.pdf",DESIGN,MANUAL,Manuals,565275,2a126035cfed4951c61c22c96f43091a964cc562f287e77c393bf2b53fcf2852,87,122848,1412.0,87,0.0,True,0,93428,0.0,0.4693,0.0,GOOD,ENGLISH,False,0,2,Preface,Microsoft® Office Word 2007,D:20110331075040,False,2014,,21,115,40,27,4,6,16,6,32
"Design/Rules/Design Rules, 2001 ENGLISH.pdf","Design Rules, 2001 ENGLISH.pdf",DESIGN,RULES,Rules,88492,1996dcbbd47708bf7ea17ca9d438955d02d38ae3e880b92c07f7417552041d2d,31,66442,2143.3,31,0.0,True,0,50508,0.0,0.4308,0.0,GOOD,ENGLISH,False,0,0,des_rule,Acrobat PDFWriter 3.02 for Windows,"Wednesday, July 11, 2001 4:19:34 PM",False,2001,,87,19,0,0,47,106,2,5,14
"Design/Rules/Design Rules, 2001 HINDI.pdf","Design Rules, 2001 HINDI.pdf",DESIGN,RULES,Rules,3260654,56ff615c39d9862731447ed74c1ca930232ac9dad0f3cdfaca80578b72defd10,98,87410,891.9,78,0.204,True,0,65243,0.0,0.4257,0.0,GOOD,ENGLISH,False,0,98,,"iText# by Gerald Henson (r0.95 of lowagie.com, based on version Paulo build 103)",D:20130312111337+05'30',False,2001,,47,29,2,0,49,113,24,4,35
"Design/Rules/Designs (Amendment) Rules, 2008.pdf","Designs (Amendment) Rules, 2008.pdf",DESIGN,RULES,Rules,1096421,32d8434d9e5a0da98c7f29d4231916a6e5685e7951b63beaa0b135900785029f,26,25,1.0,0,1.0,False,0,0,0.0,0.0,0.0,NO_TEXT_LAYER,,False,0,26,,Adobe Acrobat 7.0 Image Conversion Plug-in,D:20080725112738+05'30',False,2008,,0,0,0,0,0,0,0,0,0
"Design/Rules/Designs (Amendment) Rules, 2014.pdf","Designs (Amendment) Rules, 2014.pdf",DESIGN,RULES,Rules,4093964,890d1d89ec5de6243fdc831b39dc7d8ad8f51a6dd2b80e5bb1a144146be7916d,12,11,0.9,0,1.0,False,0,0,0.0,0.0,0.0,NO_TEXT_LAYER,,True,12,12,,Adobe Acrobat 9.0 Image Conversion Plug-in,D:20150424132135+05'30',False,2014,,0,0,0,0,0,0,0,0,0
"Design/Rules/Draft Designs (Amendment) Rules, 2013.pdf","Draft Designs (Amendment) Rules, 2013.pdf",DESIGN,RULES,Rules,3384101,044104e55d4dd14a0baa2d20774b167c20ade70a7eef1308cb847fdd02cf9568,5,8281,1656.2,5,0.0,True,0,5498,0.0,0.4784,0.0,GOOD,ENGLISH,False,0,5,,DPE Build 5656,D:20190927150342+05'30',False,2013,,30,1,1,0,4,5,0,5,20
"Design/Rules/Draft Designs (Amendment) Rules, 2019 - published for Objections or suggestions.pdf","Draft Designs (Amendment) Rules, 2019 - published for Objections or suggestions.pdf",DESIGN,RULES,Rules,694207,edd8a2953dfc0a7df985a337bd5e798deb6e5993af437c9b12ee03bf1cc152db,16,28471,1779.4,16,0.0,True,6618,9470,0.411,0.4308,0.0,GOOD,BILINGUAL_HI_EN,False,0,2,Microsoft Word - 5420GI,GPL Ghostscript 8.15,D:20191021180144Z,False,2019,,12,1,4,0,28,10,0,1,8
"Design/Rules/The Designs (Amendment) Rules, 2021.pdf","The Designs (Amendment) Rules, 2021.pdf",DESIGN,RULES,Rules,2082220,c631927da0eb552bbbb9f8b1a20259f6f7a06e032470015969fc29777314715a,16,28683,1792.7,16,0.0,True,8442,9785,0.463,0.4437,0.0,GOOD,BILINGUAL_HI_EN,False,0,0,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),D:20210125223335+05'30',False,2021,,14,2,2,0,15,5,0,0,8
"Geographical Indications/Acts/The Geographical Indications of Goods (Registration & Protection) Act, 1999 (HINDI).pdf","The Geographical Indications of Goods (Registration & Protection) Act, 1999 (HINDI).pdf",GEOGRAPHICAL_INDICATION,ACT,Acts,578301,6e28468cd90dcadea13afd493b4205d2c2d4b434a82ed73ea03c630155a2a351,23,90523,3935.8,23,0.0,True,66727,21,1.0,0.0,0.0,NON_LATIN_UNVERIFIED,HINDI,False,0,0,माल के भौगोलिक उपदर्शन (रजिस्‍ट्रीकरण और,Microsoft® Word 2016,D:20230922113641+05'30',False,1999,,0,0,0,0,101,10,0,0,0
"Geographical Indications/Acts/The Geographical Indications of Goods (Registration & Protection) Act, 1999.pdf","The Geographical Indications of Goods (Registration & Protection) Act, 1999.pdf",GEOGRAPHICAL_INDICATION,ACT,Acts,93403,049515caf90026ce4d4ce34bed2059d2502326f8795f9c1da2afa60fcaff12fc,37,95441,2579.5,37,0.0,True,0,76072,0.0,0.5167,0.0,GOOD,ENGLISH,False,0,0,"G.I.Act,1999",Acrobat PDFWriter 3.02 for Windows,"Tuesday, August 21, 2001 3:28:07 PM",False,1999,,42,20,0,10,106,153,0,0,22
"Geographical Indications/Acts/THE JAN VISHWAS (AMENDMENT OF PROVISIONS) ACT, 2023.pdf","THE JAN VISHWAS (AMENDMENT OF PROVISIONS) ACT, 2023.pdf",GEOGRAPHICAL_INDICATION,ACT,Acts,293682,23cb77f3b4905932d5ca94179eac97e48e27b01b2a1b70a7e57d3900b0ed1222,72,134053,1861.8,72,0.0,True,9,101517,0.0,0.5032,0.0,GOOD,ENGLISH,False,0,1,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),D:20230812020308+05'30',False,2023,,42,15,0,2,488,163,0,2,0
Geographical Indications/Guidelines/Draft Guidelines for permitting the use of Geographical Indication (GI) Logo and Tagline.pdf,Draft Guidelines for permitting the use of Geographical Indication (GI) Logo and Tagline.pdf,GEOGRAPHICAL_INDICATION,GUIDELINE,Guidelines,907931,1ba0c78c290374399a2197d636bab1aa69c04ef4dcd8b92ead56ed77166e9e9c,17,28669,1686.4,16,0.059,True,59,20773,0.003,0.3738,0.0,GOOD,ENGLISH,True,18,75,,iLovePDF,,False,,,22,3,0,0,0,2,0,0,1
Geographical Indications/Manuals/Manual of Geographical Indications Practice and Procedure.pdf,Manual of Geographical Indications Practice and Procedure.pdf,GEOGRAPHICAL_INDICATION,MANUAL,Manuals,555147,354ff43d3a8779414b27a5551ed3fb742385e28502b71235559a160f1e58067c,71,80870,1139.0,70,0.014,True,0,60818,0.0,0.462,0.0,GOOD,ENGLISH,False,0,2,MANUAL,Microsoft® Office Word 2007,D:20110726113253,False,,,138,45,30,3,0,8,0,5,23
"Geographical Indications/Rules/The Geographical Indications of Goods (Registration & Protection) Rules, 2002 (Hindi).pdf","The Geographical Indications of Goods (Registration & Protection) Rules, 2002 (Hindi).pdf",GEOGRAPHICAL_INDICATION,RULES,Rules,6139175,49f33c656df90d210aaf0ade4699c2df014e1a7f5a54cabc28bbbcc1f4766e5a,116,178634,1539.9,88,0.241,True,0,140012,0.0,0.4697,0.0,GOOD,ENGLISH,False,0,116,,"iText# by Gerald Henson (r0.95 of lowagie.com, based on version Paulo build 103)",D:20130312113258+05'30',False,2002,,150,72,52,7,146,43,5,5,93
"Geographical Indications/Rules/The Geographical Indications of Goods (Registration & Protection) Rules, 2002.pdf","The Geographical Indications of Goods (Registration & Protection) Rules, 2002.pdf",GEOGRAPHICAL_INDICATION,RULES,Rules,229668,61f79666a010ec619de7b1317607143ef570505ba36210d5f87b3236d9fe3450,71,183935,2590.6,71,0.0,True,0,137712,0.0,0.477,0.0,GOOD,ENGLISH,False,0,0,GI Rules final,Acrobat PDFWriter 3.02 for Windows NT,D:20020913142836,False,2002,,198,73,53,8,148,41,5,6,97
